+----------+------------+--------------+--------------+-------------+-----------+
| ORDER_ID | ORDER_DATE | ORDER_NUMBER | ORDER_STATUS | EMPLOYEE_ID | CLIENT_ID |
|       70 | 2025-03-12 | ORD0070      |            7 |          30 |        24 |
|       71 | 2025-03-13 | ORD0071      |            1 |          11 |         1 |
|       72 | 2025-03-14 | ORD0072      |            2 |          12 |        27 |
|       73 | 2025-03-15 | ORD0073      |            3 |          13 |         3 |
|       74 | 2025-03-16 | ORD0074      |            1 |          14 |         4 |
|       75 | 2025-03-17 | ORD0075      |            2 |          15 |        25 |
|       76 | 2025-03-18 | ORD0076      |            3 |          16 |         6 |
|       77 | 2025-03-19 | ORD0077      |            4 |          17 |         7 |
|       78 | 2025-03-20 | ORD0078      |            5 |          18 |         8 |
|       79 | 2025-03-21 | ORD0079      |            6 |          19 |         9 |
|       80 | 2025-03-22 | ORD0080      |            7 |          20 |        26 |
|       81 | 2025-03-23 | ORD0081      |            1 |          21 |         1 |
|       82 | 2025-03-24 | ORD0082      |            2 |          22 |         2 |
|       83 | 2025-03-25 | ORD0083      |            3 |          23 |         3 |
|       84 | 2025-03-26 | ORD0084      |            1 |          24 |         4 |
|       85 | 2025-03-27 | ORD0085      |            2 |          25 |        27 |
|       86 | 2025-03-28 | ORD0086      |            3 |          26 |         6 |
|       87 | 2025-03-29 | ORD0087      |            4 |          27 |         7 |
|       88 | 2025-03-30 | ORD0088      |            5 |          28 |         8 |
|       89 | 2025-03-31 | ORD0089      |            6 |          29 |         9 |
|       90 | 2025-04-01 | ORD0090      |            7 |          30 |        28 |
|       91 | 2025-04-02 | ORD0091      |            1 |          11 |         1 |
|       92 | 2025-04-03 | ORD0092      |            2 |          12 |         2 |
|       93 | 2025-04-04 | ORD0093      |            3 |          13 |         3 |
|       94 | 2025-04-05 | ORD0094      |            1 |          14 |         4 |
|       95 | 2025-04-06 | ORD0095      |            2 |          15 |        29 |
|       96 | 2025-04-07 | ORD0096      |            3 |          16 |         6 |
|       97 | 2025-04-08 | ORD0097      |            4 |          17 |         7 |
|       98 | 2025-04-09 | ORD0098      |            5 |          18 |         8 |
|       99 | 2025-04-10 | ORD0099      |            6 |          19 |         9 |
|      100 | 2025-04-11 | ORD0100      |            7 |          20 |        30 |
|      101 | 2025-04-12 | ORD0101      |            1 |          11 |        31 |
|      102 | 2025-04-22 | ORD0102      |            2 |          12 |        31 |
|      103 | 2025-05-02 | ORD0103      |            3 |          13 |        31 |
|      104 | 2025-04-13 | ORD0104      |            1 |          14 |        32 |
|      105 | 2025-04-23 | ORD0105      |            2 |          15 |        32 |
|      106 | 2025-05-03 | ORD0106      |            3 |          16 |        32 |
|      107 | 2025-04-14 | ORD0107      |            1 |          17 |        33 |
|      108 | 2025-04-24 | ORD0108      |            2 |          18 |        33 |
|      109 | 2025-05-04 | ORD0109      |            3 |          19 |        33 |
|      110 | 2025-04-15 | ORD0110      |            1 |          20 |        34 |
|      111 | 2025-04-25 | ORD0111      |            2 |          21 |        34 |
|      112 | 2025-05-05 | ORD0112      |            3 |          22 |        34 |
|      113 | 2025-04-16 | ORD0113      |            1 |          23 |        35 |
|      114 | 2025-04-26 | ORD0114      |            2 |          24 |        35 |
|      115 | 2025-05-06 | ORD0115      |            3 |          25 |        35 |
|      116 | 2025-04-17 | ORD0116      |            1 |          26 |        36 |
|      117 | 2025-04-27 | ORD0117      |            2 |          27 |        36 |
|      118 | 2025-05-07 | ORD0118      |            3 |          28 |        36 |
|      119 | 2025-04-18 | ORD0119      |            1 |          29 |        37 |
|      120 | 2025-04-28 | ORD0120      |            2 |          30 |        37 |
|      121 | 2025-05-08 | ORD0121      |            3 |          11 |        37 |
|      122 | 2025-04-19 | ORD0122      |            1 |          12 |        38 |
|      123 | 2025-04-29 | ORD0123      |            2 |          13 |        38 |
|      124 | 2025-05-09 | ORD0124      |            3 |          14 |        38 |
|      125 | 2025-04-20 | ORD0125      |            1 |          15 |        39 |
|      126 | 2025-04-30 | ORD0126      |            2 |          16 |        39 |
|      127 | 2025-05-10 | ORD0127      |            3 |          17 |        39 |
|      128 | 2025-04-21 | ORD0128      |            1 |          18 |        40 |
|      129 | 2025-05-01 | ORD0129      |            2 |          19 |        40 |
|      130 | 2025-05-11 | ORD0130      |            3 |          20 |        40 |
|      131 | 2025-04-22 | ORD0131      |            1 |          21 |        41 |
|      132 | 2025-05-02 | ORD0132      |            2 |          22 |        41 |
|      133 | 2025-05-12 | ORD0133      |            3 |          23 |        41 |
|      134 | 2025-04-23 | ORD0134      |            1 |          24 |        42 |
|      135 | 2025-05-03 | ORD0135      |            2 |          25 |        42 |
|      136 | 2025-05-13 | ORD0136      |            3 |          26 |        42 |
|      137 | 2025-04-24 | ORD0137      |            1 |          27 |        43 |
|      138 | 2025-05-04 | ORD0138      |            2 |          28 |        43 |
|      139 | 2025-05-14 | ORD0139      |            3 |          29 |        43 |
|      140 | 2025-04-25 | ORD0140      |            1 |          30 |        44 |
|      141 | 2025-05-05 | ORD0141      |            2 |          11 |        44 |
|      142 | 2025-05-15 | ORD0142      |            3 |          12 |        44 |
|      143 | 2025-04-26 | ORD0143      |            1 |          13 |        45 |
|      144 | 2025-05-06 | ORD0144      |            2 |          14 |        45 |
|      145 | 2025-05-16 | ORD0145      |            3 |          15 |        45 |
|      146 | 2025-04-27 | ORD0146      |            1 |          16 |        46 |
|      147 | 2025-05-07 | ORD0147      |            2 |          17 |        46 |
|      148 | 2025-05-17 | ORD0148      |            3 |          18 |        46 |
|      149 | 2025-04-28 | ORD0149      |            1 |          19 |        47 |
|      150 | 2025-05-08 | ORD0150      |            2 |          20 |        47 |
|      151 | 2025-05-18 | ORD0151      |            3 |          21 |        47 |
|      152 | 2025-04-29 | ORD0152      |            1 |          22 |        48 |
|      153 | 2025-05-09 | ORD0153      |            2 |          23 |        48 |
|      154 | 2025-05-19 | ORD0154      |            3 |          24 |        48 |
|      155 | 2025-04-30 | ORD0155      |            1 |          25 |        49 |
|      156 | 2025-05-10 | ORD0156      |            2 |          26 |        49 |
|      157 | 2025-05-20 | ORD0157      |            3 |          27 |        49 |
|      158 | 2025-05-01 | ORD0158      |            1 |          28 |        50 |
|      159 | 2025-05-11 | ORD0159      |            2 |          29 |        50 |
|      160 | 2025-05-21 | ORD0160      |            3 |          30 |        50 |
|      161 | 2025-06-01 | ORD0161      |            1 |          11 |        31 |
|      162 | 2025-06-02 | ORD0162      |            2 |          12 |        32 |
|      163 | 2025-06-03 | ORD0163      |            3 |          13 |        33 |
|      164 | 2025-06-04 | ORD0164      |            1 |          14 |        34 |
|      165 | 2025-06-05 | ORD0165      |            2 |          15 |        35 |
|      166 | 2025-06-06 | ORD0166      |            3 |          16 |        36 |
|      167 | 2025-06-07 | ORD0167      |            1 |          17 |        37 |
|      168 | 2025-06-08 | ORD0168      |            2 |          18 |        38 |
|      169 | 2025-06-09 | ORD0169      |            3 |          19 |        39 |
|      170 | 2025-06-10 | ORD0170      |            1 |          20 |        40 |
+----------+------------+--------------+--------------+-------------+-----------+

+----------+------------+--------------+--------------+-------------+-----------+
| ORDER_ID | ORDER_DATE | ORDER_NUMBER | ORDER_STATUS | EMPLOYEE_ID | CLIENT_ID |
+----------+------------+--------------+--------------+-------------+-----------+
|        8 | 2025-07-09 | ORD0008      |            5 |           8 |         8 |
|       18 | 2025-01-18 | ORD0018      |            5 |          18 |         8 |
|       28 | 2025-01-28 | ORD0028      |            5 |          28 |        13 |
|       38 | 2025-02-08 | ORD0038      |            5 |          18 |         8 |
|       48 | 2025-02-18 | ORD0048      |            5 |          28 |         8 |
|       58 | 2025-02-28 | ORD0058      |            5 |          18 |         8 |
|       68 | 2025-03-10 | ORD0068      |            5 |          28 |         8 |
|       78 | 2025-03-20 | ORD0078      |            5 |          18 |         8 |
|       88 | 2025-03-30 | ORD0088      |            5 |          28 |         8 |
|       98 | 2025-04-09 | ORD0098      |            5 |          18 |         8 |
+----------+------------+--------------+--------------+-------------+-----------+

+----------+--------------+
| ORDER_ID | ORDER_STATUS |
+----------+--------------+
|        1 |            1 |
|        3 |            3 |
|       11 |            1 |
|       13 |            3 |
|       23 |            3 |
|       31 |            1 |
|       33 |            3 |
|       43 |            3 |
|       53 |            3 |
|       61 |            1 |
|       63 |            3 |
|       71 |            1 |
|       73 |            3 |
|       81 |            1 |
|       83 |            3 |
|       91 |            1 |
|       93 |            3 |
+----------+--------------+

+---------------+------------+-------------+---------+------------+--------------------+---------------+-----------------+
| EMPLOYEE_NAME | FIRST_NAME | LAST_NAME   | pensja  | BIRTH_DATE | DATE_OF_EMPLOYMENT | DEPARTMENT_ID | JOB_POSITION_ID |
+---------------+------------+-------------+---------+------------+--------------------+---------------+-----------------+
|             4 | Agnieszka  | Lewandowska | 3900.00 | 1995-06-19 | 2021-01-10         |             4 |               4 |
|            24 | Agnieszka  | Lis         | 4200.00 | 1992-08-17 | 2018-04-12         |             4 |               5 |
+---------------+------------+-------------+---------+------------+--------------------+---------------+-----------------+

+---------------+------------+-----------+---------+------------+--------------------+---------------+-----------------+
| EMPLOYEE_NAME | FIRST_NAME | LAST_NAME | pensja  | BIRTH_DATE | DATE_OF_EMPLOYMENT | DEPARTMENT_ID | JOB_POSITION_ID |
+---------------+------------+-----------+---------+------------+--------------------+---------------+-----------------+
|             1 | Tomasz     | Kowal     | 5500.00 | 1985-04-12 | 2015-06-01         |             1 |               1 |
|             5 | Pawel      | Kaczor    | 6800.00 | 1987-12-30 | 2012-08-12         |             1 |               1 |
|             6 | Ewa        | Mazur     | 5100.00 | 1993-09-15 | 2017-04-20         |             6 |               6 |
|            10 | Olga       | Czajka    | 5300.00 | 1992-12-25 | 2020-02-15         |             9 |               9 |
|            12 | Barbara    | Kowalczyk | 5200.00 | 1986-03-10 | 2016-09-12         |             3 |               3 |
|            13 | Michal     | Zajac     | 6000.00 | 1984-02-25 | 2013-11-19         |             1 |               1 |
|            15 | Grzegorz   | Kubiak    | 5500.00 | 1987-05-20 | 2014-07-17         |             5 |               5 |
|            18 | Sylwia     | Baran     | 5200.00 | 1989-11-29 | 2015-10-16         |             8 |               8 |
|            21 | Krzysztof  | Cybulski  | 5800.00 | 1983-09-21 | 2012-12-09         |             1 |               2 |
|            22 | Dorota     | Michalak  | 5400.00 | 1986-04-14 | 2014-01-22         |             2 |               3 |
|            23 | Wojciech   | Krol      | 6100.00 | 1982-07-08 | 2010-05-15         |             3 |               4 |
|            25 | Tomasz     | Zielinski | 5000.00 | 1987-06-25 | 2013-08-20         |             5 |               6 |
|            29 | Marcin     | Krupa     | 5300.00 | 1985-12-05 | 2014-03-28         |             9 |               1 |
+---------------+------------+-----------+---------+------------+--------------------+---------------+-----------------+


+-----------+------------+----------------+--------------------------+------------+
| CLIENT_ID | IS_COMPANY | TAX_IDENTIFIER | FULL_NAME                | SHORT_NAME |
+-----------+------------+----------------+--------------------------+------------+
|        10 |          1 | PL9998887776   | EcoTrade Sp. z o.o.      | EcoTrade   |
|        16 |          1 | PL5554443332   | HomeDecor Sp. z o.o.     | HomeDecor  |
|        20 |          1 | PL6667778889   | Eco Solutions Sp. z o.o. | EcoSol     |
|        40 |          1 | PL1472583690   | EcoDrive S.A.            | EcoDrive   |
+-----------+------------+----------------+--------------------------+------------+

+----------+------------+--------------+--------------+-------------+-----------+
| ORDER_ID | ORDER_DATE | ORDER_NUMBER | ORDER_STATUS | EMPLOYEE_ID | CLIENT_ID |
+----------+------------+--------------+--------------+-------------+-----------+
|        7 | 2025-06-02 | ORD0007      |            4 |           7 |         7 |
|        8 | 2025-07-09 | ORD0008      |            5 |           8 |         8 |
|      161 | 2025-06-01 | ORD0161      |            1 |          11 |        31 |
|      162 | 2025-06-02 | ORD0162      |            2 |          12 |        32 |
|      163 | 2025-06-03 | ORD0163      |            3 |          13 |        33 |
|      164 | 2025-06-04 | ORD0164      |            1 |          14 |        34 |
|      165 | 2025-06-05 | ORD0165      |            2 |          15 |        35 |
|      166 | 2025-06-06 | ORD0166      |            3 |          16 |        36 |
|      167 | 2025-06-07 | ORD0167      |            1 |          17 |        37 |
|      168 | 2025-06-08 | ORD0168      |            2 |          18 |        38 |
|      169 | 2025-06-09 | ORD0169      |            3 |          19 |        39 |
|      170 | 2025-06-10 | ORD0170      |            1 |          20 |        40 |
+----------+------------+--------------+--------------+-------------+-----------+

+-----------+------------+----------------+----------------------------+--------------+
| CLIENT_ID | IS_COMPANY | TAX_IDENTIFIER | FULL_NAME                  | SHORT_NAME   |
+-----------+------------+----------------+----------------------------+--------------+
|         6 |          1 | PL5556667778   | AutoMax Sp. z o.o.         | AutoMax      |
|        18 |          1 | PL2221113334   | AutoParts SA               | AutoParts    |
|        38 |          1 | PL3216549870   | BestJobs Sp. z o.o.        | BestJobs     |
|        30 |          1 | PL3579514562   | CleanHome SA               | CleanHome    |
|        34 |          1 | PL7894561230   | DigitalHouse Sp. z o.o.    | DigitalHouse |
|        40 |          1 | PL1472583690   | EcoDrive S.A.              | EcoDrive     |
|        20 |          1 | PL6667778889   | Eco Solutions Sp. z o.o.   | EcoSol       |
|        10 |          1 | PL9998887776   | EcoTrade Sp. z o.o.        | EcoTrade     |
|        48 |          1 | PL8521479630   | Fitmarket Sp. z o.o.       | Fitmarket    |
|         4 |          1 | PL0987654321   | Food Market SA             | FoodMarket   |
|        42 |          1 | PL7539514862   | FoodWay S.A.               | FoodWay      |
|        13 |          1 | PL3334445556   | Fresh Food Sp. z o.o.      | FreshFood    |
|        22 |          1 | PL9988776655   | FurniCo SA                 | FurniCo      |
|        26 |          1 | PL1236547890   | GardenPlus SA              | GardenPlus   |
|        44 |          1 | PL9513572460   | GardenPro Sp. z o.o.       | GardenPro    |
|        16 |          1 | PL5554443332   | HomeDecor Sp. z o.o.       | HomeDecor    |
|        32 |          1 | PL8569472310   | Market Super S.A.          | MarketSuper  |
|         8 |          1 | PL1112223334   | Meblex SA                  | Meblex       |
|        28 |          1 | PL7418529630   | Office Supplies Sp. z o.o. | OfficeSup    |
|        46 |          1 | PL3692581470   | PaperGroup S.A.            | PaperGroup   |
|        24 |          1 | PL4455667788   | SportPro Sp. z o.o.        | SportPro     |
|        36 |          1 | PL6541237890   | TechPlanet S.A.            | TechPlanet   |
|         3 |          1 | PL1234567890   | Tech Solutions Sp. z o.o.  | TechSol      |
|        14 |          1 | PL7778889990   | TechWorld SA               | TechWorld    |
|        50 |          1 | PL9638527410   | WebCom S.A.                | WebCom       |
+-----------+------------+----------------+----------------------------+--------------+

+---------------+------------+-----------+---------+------------+--------------------+---------------+-----------------+
| EMPLOYEE_NAME | FIRST_NAME | LAST_NAME | pensja  | BIRTH_DATE | DATE_OF_EMPLOYMENT | DEPARTMENT_ID | JOB_POSITION_ID |
+---------------+------------+-----------+---------+------------+--------------------+---------------+-----------------+
|            23 | Wojciech   | Krol      | 6100.00 | 1982-07-08 | 2010-05-15         |             3 |               4 |
|             3 | Marek      | Nowicki   | 7200.00 | 1982-11-05 | 2010-02-28         |             3 |               3 |
|            21 | Krzysztof  | Cybulski  | 5800.00 | 1983-09-21 | 2012-12-09         |             1 |               2 |
|            13 | Michal     | Zajac     | 6000.00 | 1984-02-25 | 2013-11-19         |             1 |               1 |
|            19 | Artur      | Bednarz   | 4700.00 | 1985-01-30 | 2017-02-28         |             9 |               9 |
+---------------+------------+-----------+---------+------------+--------------------+---------------+-----------------+

+------------+
| FIRST_NAME |
+------------+
| Tomasz     |
| Katarzyna  |
| Marek      |
| Agnieszka  |
| Pawel      |
| Ewa        |
| Mariusz    |
| Aneta      |
| Rafal      |
| Olga       |
| Janusz     |
| Barbara    |
| Michal     |
| Magdalena  |
| Grzegorz   |
| Joanna     |
| Sylwia     |
| Artur      |
| Elzbieta   |
| Krzysztof  |
| Dorota     |
| Wojciech   |
| Monika     |
| Jakub      |
| Ewelina    |
| Marcin     |
| Patrycja   |
+------------+

+---------------------+
| FULL_NAME           |
+---------------------+
| Tomasz - Kowal      |
| Aneta - Kowalska    |
| Barbara - Kowalczyk |
+---------------------+

+-----------+---------+
| LAST_NAME | pensja  |
+-----------+---------+
| Nowicki   | 7200.00 |
| Kaczor    | 6800.00 |
| Sikora    | 4600.00 |
| Zajac     | 6000.00 |
| Kubiak    | 5500.00 |
| Cybulski  | 5800.00 |
| Michalak  | 5400.00 |
| Krol      | 6100.00 |
| Zielinski | 5000.00 |
| Krupa     | 5300.00 |
+-----------+---------+

+-----------+------------+----------------+--------------------+-------------+
| CLIENT_ID | IS_COMPANY | TAX_IDENTIFIER | FULL_NAME          | SHORT_NAME  |
+-----------+------------+----------------+--------------------+-------------+
|         1 |          0 | NULL           | Jan Kowalski       | Kowalski    |
|         2 |          0 | NULL           | Anna Nowak         | Nowak       |
|         5 |          0 | NULL           | Piotr Wisniewski   | Wisniewski  |
|         7 |          0 | NULL           | Karolina Kaczmarek | Kaczmarek   |
|         9 |          0 | NULL           | Michal Pawlak      | Pawlak      |
|        11 |          0 | NULL           | Marek Wojcik       | Wojcik      |
|        12 |          0 | NULL           | Iwona Dudek        | Dudek       |
|        15 |          0 | NULL           | Rafal Zajac        | Zajac       |
|        17 |          0 | NULL           | Magdalena Baran    | Baran       |
|        19 |          0 | NULL           | Kamil Wilk         | Wilk        |
|        21 |          0 | NULL           | Paulina Malecka    | Malecka     |
|        23 |          0 | NULL           | Jakub Sikora       | Sikora      |
|        25 |          0 | NULL           | Anna Nowakowska    | Nowakowska  |
|        27 |          0 | NULL           | Marta Duda         | Duda        |
|        29 |          0 | NULL           | Tomasz Kaminski    | Kaminski    |
|        31 |          0 | NULL           | Emilia Sadowska    | Sadowska    |
|        33 |          0 | NULL           | Zenon Rutkowski    | Rutkowski   |
|        35 |          0 | NULL           | Julia Olszewska    | Olszewska   |
|        37 |          0 | NULL           | Patryk Domanski    | Domanski    |
|        39 |          0 | NULL           | Monika Krysztofiak | Krysztofiak |
|        41 |          0 | NULL           | Marek Chrzanowski  | Chrzanowski |
|        43 |          0 | NULL           | Natalia Gorska     | Gorska      |
|        45 |          0 | NULL           | Pawel Kaczmarek    | Kaczmarek   |
|        47 |          0 | NULL           | Joanna Czarnecka   | Czarnecka   |
|        49 |          0 | NULL           | Tomasz Wojcik      | Wojcik      |
+-----------+------------+----------------+--------------------+-------------+

+-------------+
| SHORT_NAME  |
+-------------+
| Wisniewski  |
| Rutkowski   |
| Krysztofiak |
| Kowalski    |
| Kaminski    |
| Kaczmarek   |
| Kaczmarek   |
| Domanski    |
| Chrzanowski |
+-------------+

